id,latitude,longitude
1156,-77.0285310066,38.9319862638
1157,-77.0281503937,38.9304954813
1158,-77.0278139728,38.931087768
1159,-77.0324599405,38.9390310806
1160,-77.0272644077,38.8957790908
1161,-77.0237126816,38.8965187319
1162,-77.0274436972,38.9006689678
1163,-77.0274436972,38.9006689678
1164,-77.0274436972,38.9006689678
1165,-77.0272664647,38.8993513566
1166,-77.0243099332,38.8975486254
1167,-77.0274146811,38.9028602572
1168,-77.026692385,38.9015589873
1169,-77.0252644029,38.9020155781
1170,-77.023034027,38.903587997
1171,-77.0267537639,38.9066038307
1172,-77.0248612848,38.9070752953
1173,-77.0236295421,38.9058389749
1174,-77.0241860234,38.9094903942
1175,-77.0247260921,38.9171868241
1176,-77.024224218,38.9167111993
1177,-77.0237334513,38.9159827962
1178,-77.0252752749,38.9183829227
1179,-77.0248379098,38.9184171581
1180,-77.0247934135,38.9184574348
1181,-77.0256853065,38.9269812762
1182,-77.023148863,38.9267082236
1183,-77.0237734273,38.9366302972
1184,-77.0266519925,38.9486527674
1185,-77.0259856182,38.9561067208
1186,-77.0253439285,38.9564682732
1187,-77.024443555,38.9564664831
1188,-77.0223800111,38.8944381523
1189,-77.0221616847,38.8959242141
1190,-77.0216669705,38.8949421247
1191,-77.0216234443,38.9004223701
1192,-77.0215088703,38.8970376799
1193,-77.0210694907,38.8987914178
1194,-77.020351973,38.8971220253
1195,-77.0196769355,38.8984710531
1196,-77.0195791951,38.8989513953
1197,-77.0210994767,38.9035131426
1198,-77.0201891929,38.9040163299
1199,-77.0178926946,38.9028252594
1200,-77.0222366258,38.9114954978
1201,-77.019912924,38.9311373054
1202,-77.0134649543,38.893414548
1203,-77.0134624906,38.8931866365
1204,-77.0164557002,38.900551131
1205,-77.0158571015,38.8987688198
1206,-77.0141934042,38.9058361783
1207,-77.0159762746,38.9135785286
1208,-77.0127539397,38.9152179914
1209,-77.0123893739,38.9154107188
1210,-77.0117033531,38.8953676618
1211,-77.0112722145,38.8945612752
1212,-77.0061791287,38.8975384698
1213,-77.0017867556,38.9000407817
1214,-77.0063323416,38.9067250019
1215,-77.0031636819,38.9077962231
1216,-77.0052117695,38.9172027464
1217,-77.0040948993,38.9296004912
1218,-77.0009333651,38.8944479496
1219,-76.9999667988,38.8999998974
1220,-76.9975959295,38.9097024969
1221,-77.0009949812,38.9153018301
1222,-76.9934279089,38.9223452609
1223,-77.0799935766,38.9500762477
1224,-77.0799470375,38.9501364549
1225,-77.0791785734,38.9477199664
1226,-77.0702912375,38.919221928
1227,-77.0728097413,38.9218853195
1228,-77.0727112935,38.9333408955
1229,-77.0703060962,38.9552309729
1230,-77.0675586071,38.9161180975
1231,-77.067391159,38.9146317287
1232,-77.0635027553,38.904972457
1233,-77.0631751506,38.9038567698
1234,-77.0630347318,38.9045114827
1235,-77.0617494178,38.904963938
1236,-77.0609601437,38.9033464522
1237,-77.059677901,38.9103543488
1238,-77.0593058862,38.9362107644
1239,-77.0591553218,38.9361564306
1240,-77.0628415396,38.9438070525
1241,-77.0557161398,38.8959114979
1242,-77.0551509671,38.8977296542
1243,-77.053981711,38.9035337455
1244,-77.0585963342,38.9053630105
1245,-77.055645632,38.909559821
1246,-77.0555654293,38.9298924655
1247,-77.0580043602,38.9353308562
1248,-77.0496054154,38.9009156053
1249,-77.0490676149,38.9009107877
1250,-77.0497257538,38.903371142
1251,-77.0523454359,38.92380352
1252,-77.0514921968,38.9243058426
1253,-77.0476932379,38.8963030392
1254,-77.0464183765,38.9005173043
1255,-77.0443168466,38.8971125093
1256,-77.0457760463,38.9028924308
1257,-77.0438809653,38.9049544494
1258,-77.0438809653,38.9049544494
1259,-77.0485242288,38.9094725518
1260,-77.046379256,38.9094991868
