asText(point)
POINT(38.9103309771605 -77.0745520136523)
POINT(38.9103309771605 -77.0745520136523)
POINT(38.9103309771605 -77.0745520136523)
POINT(38.9103309771605 -77.0745520136523)
POINT(38.9103309771605 -77.0745520136523)
POINT(38.9183580341976 -77.0697566488527)
POINT(38.919878643929 -77.0710217481197)
POINT(38.9103205213907 -77.0450932822489)
POINT(38.8955332049936 -77.089034286673)
POINT(38.8950276393273 -77.0913879186362)
POINT(38.8876825744583 -77.1008506221574)
POINT(38.8844369259246 -77.089953075496)
POINT(38.8805002041726 -77.0857876280477)
POINT(38.8828601794833 -77.087629416799)
POINT(38.8893609624479 -77.0776207762673)
POINT(38.8900789292189 -77.0786724945977)
POINT(38.8963690223272 -77.0760518624728)
POINT(38.8969364758074 -77.071651260141)
POINT(38.8982446456959 -77.013608160774)
POINT(38.900478814981 -77.050242504037)
POINT(38.8960204345607 -77.0257940283664)
POINT(38.9045093548952 -77.0630047950271)
POINT(38.9303079578791 -77.072743970597)
POINT(38.9236400442797 -77.0518440018583)
POINT(38.8879183410053 -77.0485304952568)
POINT(38.8841625750973 -77.0465391231371)
POINT(38.8802585660803 -77.0360958908261)
POINT(38.8919184093807 -77.030852975685)
POINT(38.8962458222553 -77.0334081616197)
POINT(38.8937337831742 -77.0227316861642)
POINT(38.8906485832689 -77.0118716465831)
POINT(38.8877132296899 -77.0201072444744)
POINT(38.8906485832689 -77.0118716465831)
POINT(38.8967799369458 -77.0063773332084)
POINT(38.8960204345607 -77.0257940283664)
POINT(38.8959658421678 -77.0958734746237)
POINT(38.8868147886962 -77.095026598349)
POINT(38.893163838907 -77.0710234404894)
POINT(38.896162011895 -77.0785806653228)
POINT(38.8958665887817 -77.0549030740575)
POINT(38.9000826068826 -77.0392943819523)
POINT(38.9137939527682 -77.0456380770515)
POINT(38.8918980361007 -77.0258251474666)
POINT(38.8967799369458 -77.0063773332084)
POINT(38.8937337831742 -77.0227316861642)
POINT(38.8877132296899 -77.0201072444744)
POINT(38.9024643051484 -77.0602031083302)
POINT(38.9065503567573 -77.0627916349201)
POINT(38.9092914899696 -77.0644277370387)
POINT(38.9141619730466 -77.0668070823413)
POINT(38.900462247632 -77.0502447749654)
POINT(38.9026801321641 -77.0599484847384)
POINT(38.9027599952325 -77.0628714544505)
POINT(38.9027269165097 -77.0626367368467)
POINT(38.904915885777 -77.0626830110714)
POINT(38.9048276919647 -77.0629046934183)
POINT(38.9071724100335 -77.063309631506)
POINT(38.9074265714669 -77.063259957873)
POINT(38.909457600793 -77.0643188504832)
POINT(38.9109544043533 -77.065318188051)
POINT(38.9109905977515 -77.0651444991055)
POINT(38.9139943938279 -77.066943688129)
