asText(point)
"POINT(38.8827164309457 -77.0079726274564)"
"POINT(38.9296505110256 -77.0684215615203)"
"POINT(38.9189564080195 -77.0290399428158)"
"POINT(38.954641341207 -77.0210752086111)"
"POINT(38.9178623680891 -76.9798589090893)"
"POINT(38.8858972823411 -76.9467949065148)"
"POINT(38.8387978387582 -77.0077237395978)"
