id,latitude,longitude
1,-77.0216751314,38.8758946204
2,-77.0210610917,38.8859617875
3,-77.0055646272,38.8848174174
4,-77.0030230704,38.8871617618
5,-77.0022905243,38.8852540737
6,-77.0027675091,38.8894330502
7,-77.0008248771,38.883082262
8,-76.9966932785,38.8845312167
9,-77.0013679068,38.8864884165
10,-77.0010896671,38.8863687882
11,-76.9979151034,38.8850076983
12,-76.9977061197,38.8856741345
13,-76.9941226265,38.8392867881
14,-76.9963228078,38.8471911586
15,-76.9953359179,38.8824578907
16,-76.9947016078,38.8818428611
17,-76.9946575714,38.8835150858
18,-76.9963582715,38.8859094892
19,-76.9963582715,38.8859094892
20,-76.9958986771,38.8868871535
21,-77.0295989422,38.8821238957
22,-77.0266498486,38.8805849822
23,-77.0261256658,38.8802069284
24,-77.0240359751,38.8785599225
25,-77.0216751314,38.8758946204
26,-77.0181499371,38.8776024925
27,-77.0196264847,38.8856330513
28,-77.0171595178,38.8776137226
29,-77.0159303783,38.8836136642
30,-77.0075506151,38.8258875971
31,-77.0086433363,38.832104534
32,-77.0051156294,38.8886610433
33,-77.0017549541,38.8866473192
34,-76.9975831879,38.8433865659
35,-76.9971533779,38.8846884251
36,-77.0016169996,38.887180347
37,-77.0009757898,38.8863262696
38,-76.9923096573,38.8625780797
39,-76.9953423128,38.881600833
40,-76.9947084694,38.8825651538
41,-76.9946612695,38.8833824825
42,-76.9964090252,38.8851219781
43,-76.9959056121,38.88654988
44,-77.024365447,38.8839012882
45,-77.0118393497,38.8708924057
46,-76.9974816265,38.884798425
47,-76.9973311012,38.8847768917
48,-76.9966252776,38.8845170716
49,-76.9952394676,38.880476582
50,-76.9953342043,38.8822256544
51,-76.995267334,38.8825791408
52,-77.0216751314,38.8758946204
53,-77.0103055403,38.8674738607
54,-77.0097301617,38.8790250219
55,-77.0095546196,38.8771593081
56,-77.0055677349,38.884763457
57,-77.0026515773,38.8869944852
58,-77.0024524046,38.8869387277
59,-77.0018054387,38.8866696592
60,-76.9970120737,38.8846620271
61,-77.0015132647,38.8871926898
62,-76.9962996917,38.8597835925
63,-76.9959531408,38.8776881513
64,-76.9947480522,38.8771782282
65,-76.9952752029,38.8821002553
66,-76.9947173501,38.8824813762
67,-76.9946807733,38.8830375523
68,-76.994603731,38.8822044532
69,-77.0266498486,38.8805849822
70,-77.0228277713,38.87763185
71,-77.0216751314,38.8758946204
72,-77.0216751314,38.8758946204
73,-77.0216751314,38.8758946204
74,-77.0210610917,38.8859617875
75,-77.0093785194,38.8744849096
76,-77.0079850648,38.8748072436
77,-77.0055646148,38.8846593203
78,-76.9982902263,38.8289977322
79,-77.0012918347,38.8864642749
80,-76.9967183716,38.8852477442
81,-76.9927794546,38.8621893965
82,-76.9964455505,38.8853524136
83,-76.9959774656,38.8877704278
84,-76.9958986771,38.8868871535
85,-77.0295989422,38.8821238957
86,-77.0295989422,38.8821238957
87,-77.0216751314,38.8758946204
88,-77.0079626235,38.8843777595
89,-77.0030807279,38.842406161
90,-77.0061885969,38.8777832762
91,-77.0054928243,38.8788610751
92,-77.0055646335,38.8848991234
93,-76.9952834742,38.8807638613
94,-76.9952801541,38.8821713317
95,-76.9952685719,38.8830290196
96,-76.9931406325,38.8829808093
97,-76.9958477481,38.8866069911
98,-77.0216751314,38.8758946204
99,-77.0079914588,38.8310550946
100,-77.0079334411,38.8323468219
101,-77.0108332274,38.8731282988
102,-77.0078259581,38.8762356258
103,-77.0079626235,38.8843777595
104,-77.0064388889,38.8379426974
105,-77.0039608866,38.877703919
106,-77.0055287445,38.8858193313
107,-77.0028597423,38.8870889782
108,-76.9998044061,38.8435518957
109,-76.9965605943,38.8467631749
110,-76.9982782771,38.88514283
111,-76.9980339326,38.8850594085
112,-76.9976795202,38.884898242
113,-77.0003739225,38.8900667315
114,-76.9953082931,38.8819086482
115,-76.9952672227,38.8825186945
116,-76.9952308008,38.8808200715
117,-77.0304488726,38.8836017732
118,-77.0203581378,38.8771178372
119,-77.0118376217,38.8702008306
120,-77.0018106429,38.8782750141
121,-76.9976105402,38.8452711329
122,-76.9968781374,38.8453212927
123,-77.0015293874,38.8865439061
124,-77.0011504096,38.8863985152
125,-76.999727744,38.889547399
126,-76.9952431851,38.8800334594
127,-76.9952897338,38.881963959
128,-76.9952891986,38.8830881155
129,-76.9947072462,38.8819642944
130,-76.994603731,38.8822044532
131,-77.1014057804,38.9253625672
132,-77.0959727446,38.9460585089
133,-77.0856172032,38.9594167231
134,-77.082632872,38.9538766246
135,-77.0828659491,38.9543006591
136,-77.0840871068,38.9583813429
137,-77.1027294756,38.9267358107
138,-77.1023179741,38.9254350999
139,-77.0847454981,38.9330994743
140,-77.0810725035,38.95083247
141,-77.0828519653,38.9544784922
142,-77.0840871068,38.9583813429
143,-77.096608576,38.9177879249
144,-77.0964735052,38.9452899601
145,-77.0875351447,38.9090713069
146,-77.0884148178,38.9390814221
147,-77.0829772925,38.9308225416
148,-77.084367571,38.9587578664
149,-77.1012922284,38.9253104174
150,-77.1023179741,38.9254350999
151,-77.0963738297,38.9178074867
152,-77.095743485,38.945766378
153,-77.0819566285,38.9358590854
154,-77.0838620585,38.9563655448
155,-77.1065146158,38.9300125308
156,-77.0965487398,38.9168584944
157,-77.0825445686,38.9538368704
158,-77.0817835063,38.9537601143
159,-77.0808895806,38.9505668526
160,-77.0959598222,38.9174336212
161,-77.0950400111,38.9457416387
162,-77.085146226,38.9587373937
163,-77.0847454981,38.9330994743
164,-77.082632872,38.9538766246
165,-77.0817544781,38.953698518
166,-77.0835793304,38.9574916904
167,-77.1064430569,38.9298990912
168,-77.1017758706,38.9256180818
169,-77.0963701865,38.9167327052
170,-77.0851817668,38.9336406465
171,-77.0813473396,38.9514728576
172,-77.0809224296,38.9503374791
173,-77.0836256763,38.9575603904
174,-77.0836026365,38.9557214593
175,-77.1017127365,38.9249346754
176,-77.0963701865,38.9167327052
177,-77.0969213153,38.917884956
178,-77.0954309871,38.9461121914
179,-77.0802440393,38.9252843361
180,-77.0847454981,38.9330994743
181,-77.0797467883,38.948711572
182,-77.0792124087,38.949101093
183,-77.0704348486,38.9060756099
184,-77.072904575,38.9214761022
185,-77.0727100433,38.9336983459
186,-77.0696458245,38.9554653128
187,-77.0656015912,38.9049523798
188,-77.0658557837,38.9053032923
189,-77.0648046957,38.9053206355
190,-77.0643235864,38.9053186493
